№,Секунда ,Микросекунда
1,19,317172
2,19,328893
3,19,339635
4,19,349973
5,19,360507
6,19,371249
7,19,381993
8,19,392736
9,19,403477
10,19,414219
11,19,424961
12,19,435386
13,19,446118
14,19,456861
15,19,467604
16,19,478346
17,19,489089
18,19,499831
19,19,510542
20,19,521275
21,19,532017
22,19,542760
23,19,553503
24,19,564245
25,19,574987
26,19,585287
27,19,596029
28,19,606302
29,19,617038
30,19,627781
31,19,638523
32,19,649265
33,19,660008
34,19,670752
35,19,681493
36,19,692235
37,19,702979
38,19,713720
39,19,724092
40,19,734374
41,19,744671
42,19,754961
43,19,765259
44,19,775935
45,19,786671
46,19,797413
47,19,808156
48,19,818899
49,19,829641
50,19,840384
51,19,851126
52,19,861869
53,19,872611
54,19,883353
55,19,894096
56,19,904494
57,19,914799
58,19,925193
59,19,935576
60,19,946302
61,19,957044
62,19,967786
63,19,978529
64,19,989272
65,20,14
66,20,10757
67,20,21058
68,20,31800
69,20,42542
70,20,53285
71,20,64027
72,20,74336
73,20,85079
74,20,95439
75,20,105717
76,20,115996
77,20,127702
78,20,138443
79,20,149185
80,20,159929
81,20,170671
82,20,181413
83,20,192156
84,20,202898
85,20,213641
86,20,223959
87,20,234279
88,20,245021
89,20,255439
90,20,266174
91,20,276916
92,20,287659
93,20,298401
94,20,309144
95,20,319886
96,20,330630
97,20,341371
98,20,352113
99,20,362856
100,20,373599
101,20,383943
102,20,394234
103,20,404977
104,20,415356
105,20,426091
106,20,436833
107,20,447575
108,20,458317
109,20,469061
110,20,479803
111,20,490546
112,20,501288
113,20,512031
114,20,522373
115,20,533116
116,20,543858
117,20,554153
118,20,564896
119,20,575626
120,20,586356
121,20,597100
122,20,607842
123,20,618584
124,20,629326
125,20,640069
126,20,650812
127,20,661554
128,20,672297
129,20,683040
130,20,693782
131,20,704139
132,20,714882
133,20,725369
134,20,736105
135,20,746847
136,20,757589
137,20,768332
138,20,779074
139,20,789817
140,20,800560
141,20,811303
142,20,822045
143,20,832787
144,20,843530
145,20,854272
146,20,865015
147,20,876141
148,20,886876
149,20,897618
150,20,908360
151,20,919104
152,20,929845
153,20,940588
154,20,951330
155,20,962073
156,20,972815
157,20,983558
158,20,994300
159,21,5043
160,21,15218
161,21,25572
162,21,36308
163,21,46590
164,21,57324
165,21,68067
166,21,78809
167,21,89552
168,21,100294
169,21,111037
170,21,121387
171,21,132130
172,21,142873
173,21,153615
174,21,163910
175,21,174324
176,21,185067
177,21,195357
178,21,205630
179,21,216368
180,21,227110
181,21,237853
182,21,248595
183,21,259338
184,21,270081
185,21,280823
186,21,291566
187,21,302308
188,21,313050
189,21,323793
190,21,334429
191,21,344733
192,21,355741
193,21,366469
194,21,377211
195,21,387954
196,21,398696
197,21,409439
198,21,419921
199,21,430664
200,21,441406
201,21,452149
202,21,462891
203,21,473634
204,21,484156
205,21,494899
206,21,505192
207,21,515553
208,21,526289
209,21,537032
210,21,547774
211,21,558516
212,21,569259
213,21,580001
214,21,590744
215,21,601486
216,21,612229
217,21,622628
218,21,633371
219,21,644113
220,21,654856
221,21,665148
222,21,675860
223,21,686597
224,21,697339
225,21,708081
226,21,718824
227,21,729566
228,21,740309
229,21,751052
230,21,761794
231,21,772536
232,21,783279
233,21,794021
234,21,804371
235,21,814752
236,21,825032
237,21,835408
238,21,846144
239,21,856886
240,21,867629
241,21,878371
242,21,889113
243,21,899856
244,21,910599
245,21,920969
246,21,931711
247,21,942454
248,21,953197
249,21,963939
250,21,974222
251,21,984964
252,21,995755
253,22,6485
254,22,16908
255,22,27651
256,22,38393
257,22,49135
258,22,59878
259,22,70620
260,22,81363
261,22,92105
262,22,102848
263,22,113590
264,22,123984
265,22,134324
266,22,145066
267,22,155542
268,22,166238
269,22,176981
270,22,187724
271,22,198466
272,22,209208
273,22,219951
274,22,230693
275,22,241436
276,22,252179
277,22,262921
278,22,273663
279,22,284052
280,22,294420
281,22,304733
282,22,315171
283,22,325523
284,22,336260
285,22,347002
286,22,357744
287,22,368486
288,22,379228
289,22,389972
290,22,400714
291,22,411457
292,22,421815
293,22,432557
294,22,443300
295,22,454042
296,22,464384
297,22,474677
298,22,484959
299,22,495746
300,22,506480
